OBJECTID,CaseObjectID,AppliedDate,Fee,IssuedDate,ParcelNo,PropertyAddress,Status,Valuation,WorkDescription,BuildingUseCode,PermitNumber,PermitType,PermitSubType
9416617,42696,2011/03/17 08:00:00+00,2330,,530059000,401  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0019,ZNG-ZONING,ZNG-MALLVN
9416618,42695,2011/03/17 08:00:00+00,2525,,280035000,212 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0018,ZNG-ZONING,ZNG-MALLVN
9416619,42694,2011/03/17 08:00:00+00,341,,330263000,200 W MARKET ST,OPEN,0,Downtown Mall Vendor,,VEN11-0017,ZNG-ZONING,ZNG-MALLVN
9416620,42693,2011/03/15 08:00:00+00,2525,,280049000,412  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0016,ZNG-ZONING,ZNG-MALLVN
9416621,42692,2011/03/15 08:00:00+00,1541,,330269000,213 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0015,ZNG-ZONING,ZNG-MALLVN
9416622,42691,2011/03/15 08:00:00+00,2525,,280023000,110  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0014,ZNG-ZONING,ZNG-MALLVN
9416623,42690,2011/03/14 08:00:00+00,4025,,280026000,120 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0013,ZNG-ZONING,ZNG-MALLVN
9416624,42689,2011/03/14 08:00:00+00,1625,,280026000,120 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0012,ZNG-ZONING,ZNG-MALLVN
9416625,42688,2011/03/14 08:00:00+00,3725,,330240100,201 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0011,ZNG-ZONING,ZNG-MALLVN
9416626,42687,2011/03/14 08:00:00+00,2525,,530061000,415 E MAIN STREET,OPEN,0,Downtown Mall Vendor,,VEN11-0010,ZNG-ZONING,ZNG-MALLVN
9416627,42686,2011/03/11 10:00:00+00,425,,330228000,317 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0009,ZNG-ZONING,ZNG-MALLVN
9416628,42685,2011/03/10 10:00:00+00,4625,,330235000,221 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0008,ZNG-ZONING,ZNG-MALLVN
9416631,42682,2011/03/08 10:00:00+00,617.5,,530062000,421  EAST MAIN STREET,OPEN,0,Downtown Mall Vendor,,VEN11-0005,ZNG-ZONING,ZNG-MALLVN
9416632,42681,2011/03/07 10:00:00+00,1850,,330260000,119  WEST MAIN STREET,OPEN,0,Downtown Mall Vendor,,VEN11-0004,ZNG-ZONING,ZNG-MALLVN
9416633,42680,2011/03/07 10:00:00+00,3125,,330255000,101 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0003,ZNG-ZONING,ZNG-MALLVN
9416634,42679,2011/03/07 10:00:00+00,2525,,280041000,310  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0002,ZNG-ZONING,ZNG-MALLVN
