OBJECTID,CaseObjectID,AppliedDate,Fee,IssuedDate,ParcelNo,PropertyAddress,Status,Valuation,WorkDescription,BuildingUseCode,PermitNumber,PermitType,PermitSubType
9450387,8854,2010/04/20 08:00:00+00,142.8,2010/04/20 08:00:00+00,330259000,113  WEST MAIN STREET APT 13,CLOSED,0,Wiring,,EN-10-0116,B-CONVERT,B-WIRING
9450403,8838,2010/03/30 08:00:00+00,714.0,2010/03/30 08:00:00+00,530160000,605  EAST MAIN STREET,ISSUE,0,Wiring,,EN-10-0100,B-CONVERT,B-WIRING
9450406,8835,2010/03/29 08:00:00+00,142.8,2010/03/29 08:00:00+00,2800601H0,410 EAST WATER STREET #500,CLOSED,0,Wiring,,EN-10-0097,B-CONVERT,B-WIRING
9450447,8794,2010/03/04 10:00:00+00,81.6,2010/03/04 10:00:00+00,320156000,709  WEST MAIN STREET,CLOSED,0,Wiring,,EN-10-0056,B-CONVERT,B-WIRING
9450458,8783,2010/02/26 10:00:00+00,127.5,2010/02/26 10:00:00+00,280041000,310-312 EAST MAIN STREET,CLOSED,0,Wiring,,EN-10-0045,B-CONVERT,B-WIRING
9450462,8779,2010/02/24 10:00:00+00,142.8,2010/02/24 10:00:00+00,530064000,423  EAST MAIN STREET,CLOSED,0,Wiring,,EN-10-0041,B-CONVERT,B-WIRING
9450469,8772,2010/02/12 10:00:00+00,142.8,2010/02/12 10:00:00+00,280043000,319  EAST WATER STREET,CLOSED,0,Wiring,,EN-10-0034,B-CONVERT,B-WIRING
9450470,8771,2010/02/11 10:00:00+00,158.1,2010/02/11 10:00:00+00,530064000,423  EAST MAIN STREET,CLOSED,0,Wiring,,EN-10-0033,B-CONVERT,B-WIRING
9450540,8701,2009/11/18 10:00:00+00,158.1,2009/11/24 10:00:00+00,330272000,219  WEST MAIN STREET,CLOSED,0,Service Upgrade,,EN-09-0404,B-CONVERT,B-SRVUPG
9450542,8699,2009/11/17 10:00:00+00,2703.0,2009/11/17 10:00:00+00,280023000,110-112 EAST MAIN STREET,CLOSED,0,New Service,,EN-09-0402,B-CONVERT,B-NS
9450607,8634,2009/09/25 08:00:00+00,127.5,2009/09/25 08:00:00+00,280051000,420 EAST MAIN STREET,CLOSED,0,Wiring,,EN-09-0337,B-CONVERT,B-WIRING
